12	1	2
119	1	2
184	1	3
192	1	0
48	1	2
97	1	3
49	1	1
24	1	2
6	1	3
79	1	1
56	1	2
91	1	0
183	1	1
186	1	3
65	1	3
115	1	0
22	1	3
190	1	1
34	1	2
78	1	1
144	1	1
21	1	1
87	1	2
113	1	0
31	1	2
53	0	20
53	0	25
53	0	11
53	0	94
53	0	22
23	0	27
23	0	39
23	0	34
23	0	42
23	0	24
23	0	84
23	0	96
119	0	111
119	0	50
119	0	27
249	1	46
211	1	0
181	1	1
18	1	1
54	0	178
54	0	87
54	0	24
54	0	159
54	0	37
165	1	0
140	0	126
140	0	41
177	0	50
25	1	108
76	1	5
128	1	26
263	1	7
235	1	5
224	1	5
139	0	45
139	0	11
242	1	76
112	0	8
112	0	66
112	0	125
28	0	75
28	0	18
28	0	72
28	0	44
28	0	4
28	0	74
92	0	13
92	0	99
92	0	61
92	0	67
249	1	0
228	1	26
185	0	21
260	1	7
123	1	52
11	1	3
117	1	17
173	1	7
163	0	58
163	0	66
267	1	0
54	1	31
203	1	1
164	1	165
160	1	46
144	0	116
144	0	21
85	0	32
85	0	12
85	0	98
85	0	95
190	0	4
243	1	0
72	1	141
115	0	8
115	0	71
115	0	68
240	1	17
19	0	28
19	0	167
19	0	59
19	0	75
19	0	154
19	0	142
19	0	4
19	0	183
41	1	86
193	1	3
261	1	2
65	0	25
65	0	15
65	0	60
65	0	132
65	0	82
20	1	108
38	0	128
38	0	29
38	0	130
38	0	30
38	0	114
38	0	62
268	1	7
180	1	3
212	1	0
56	0	41
56	0	10
56	0	98
56	0	126
56	0	40
129	1	1
172	1	0
231	1	76
104	0	181
104	0	123
104	0	73
77	1	141
143	1	5
178	0	54
77	1	1
89	0	69
89	0	88
89	0	6
89	0	161
27	0	87
27	0	34
27	0	119
27	0	148
27	0	111
27	0	24
27	0	23
43	1	1
223	1	57
128	0	29
128	0	38
128	0	130
61	1	51
94	1	108
213	1	7
142	0	19
142	0	4
126	1	86
220	1	76
258	1	0
59	1	52
72	1	1
18	1	103
248	1	17
256	1	5
240	1	3
169	0	35
106	1	2
173	0	172
183	0	19
127	1	17
102	1	31
24	0	87
24	0	27
24	0	64
24	0	37
24	0	42
24	0	54
24	0	23
17	1	3
158	1	43
152	1	165
139	1	3
87	0	111
87	0	54
87	0	27
87	0	24
153	0	97
153	0	9
134	0	32
134	0	33
194	1	5
142	1	1
16	1	100
209	1	2
26	1	2
7	1	0
238	1	7
147	1	43
140	1	86
187	0	4
151	1	43
217	1	0
73	1	52
108	1	3
255	1	5
188	0	32
94	0	53
94	0	11
94	0	9
94	0	22
209	1	26
82	1	51
95	1	149
186	0	16
126	0	140
126	0	41
126	0	56
149	1	2
236	1	3
58	1	46
210	1	57
106	1	31
250	1	0
8	0	113
8	0	58
8	0	145
8	0	160
8	0	66
8	0	125
8	0	115
8	0	71
8	0	68
8	0	112
110	1	1
255	1	143
95	0	32
95	0	12
95	0	81
95	0	85
44	0	28
44	0	77
44	0	63
44	0	72
44	0	74
33	1	26
176	1	0
170	0	189
138	1	5
210	1	5
204	1	86
230	1	0
175	0	123
76	1	76
19	1	103
156	0	20
156	0	55
134	1	2
259	1	2
201	1	57
109	0	71
109	0	68
109	0	58
244	1	7
63	0	44
63	0	77
63	0	4
63	0	6
63	0	72
146	1	136
215	1	7
257	1	3
33	0	32
33	0	14
33	0	121
33	0	81
33	0	134
33	0	12
159	0	37
159	0	54
32	1	149
191	1	108
167	0	19
167	0	59
198	1	57
212	1	136
76	1	5
44	1	1
230	1	7
148	0	34
148	0	27
176	0	179
68	0	8
68	0	115
68	0	71
68	0	58
68	0	109
122	1	100
84	0	23
84	0	41
84	0	39
84	0	96
154	0	19
154	0	4
96	1	31
60	1	51
259	1	31
161	0	89
161	0	6
41	0	40
41	0	39
41	0	126
41	0	56
41	0	140
41	0	84
171	0	118
222	1	143
208	1	1
151	0	107
151	0	79
151	0	78
11	0	35
11	0	94
